text,label
Infusion pump BD Alaris VP,other
condenser pump,other
Clinic bed Acare HCB M,other
Empilhadeira Toyota FG.,vehicle
Air conditioning Khöne KPC HR Eating,other
Caminhão Fiat V.,vehicle
Ford F cc x Ford F,vehicle
Truck Ford Cargo Euro V X,vehicle
Body Infrared Thermometer T C a c Medical Use Haier Aet RB,other
Electric bed and linet gra,other
Bolde Motion Sensor Honeywell Is,other
Computer Monitor Advance et ta,other
Mechanic Bed Ford F,vehicle
Truck Mitsubishi L Katana,vehicle
Dadus Extruder Inner Belt Toyota Boshoku D,vehicle
Empilhadeira Toyota.,vehicle
Company Pickup Leased Ford Ford F XL CC X,vehicle
Domus Auto Sup Pressure Alte and Pump Apex C,other
reel hose fat hino bahia graco,vehicle
KJQ Chevrolet truck,vehicle
Light vehicle Nissan NP,vehicle
CPU Desktop Intel Core I GHz GB Ram DDR HD GB Grav DVD Front USB Input CC,other
RTD Bearing NDE Fan motor cooling tower,other
Toyota Hilux Dob Cab Toyota,vehicle
Toyota Kunl truck,vehicle
Toyota Tacoma van.,vehicle
Minibus Ford Transit.,vehicle
Truck Ford JJWJ Ford Cargo,vehicle
RCG Chevrolet FVR.,vehicle
JBP FUGGON NISSAN NV,vehicle
Lisa XF oven,other
Desktop All In One Intel Core I u Ghz GB Ram DDR HD TB Fabric LED Grav DVD,other
Chevrolet New D Truck Max,vehicle
ID Truck CD X Chevrolet D Max CDI CD X,vehicle
MOV CHEVROLET SPARK LITE HB M LT,vehicle
I Jeep Vitara Chevrolet Grand Vitara Sport AC P X TM,vehicle
smoke sensor,other
A C Type Split Cooled by Air BTU V PH R,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Truck Nissan Frontier Green CSK Truck Nissan Frontier,vehicle
CB HINO XZU E AT CIT,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
computer desk,other
VGG Towa Toyota Hilux,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Toyota TB.,vehicle
Digital Indication Termometer Extech Instruments,other
MOV NISSAN NP DCAB X LT,vehicle
Jeep Compass truck,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Ll truck cabin x Toyota Hilux Hilux X,vehicle
CM split panel,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Air conditioning Generic cassette,other
Multiparameter Monitor Nihon Kohden BSM Q,other
Truck Mitsubishi L Katanacrtx,vehicle
Truck Mitsubishi L.,vehicle
HINO HINE ELEVATOR OMCN M,vehicle
Company Pickup Leased Ford Ford F wd,vehicle
Infusion pump BD Alaris GP,other
Smoke sensor.,other
Mazda BT X Truck,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Truck Mitsubishi Dakar.,vehicle
GFMS truck Mitsubishi L,vehicle
HP Computer Computer.,other
Nissan truck,vehicle
Truck Mitsubishi L Katanacrtx,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Toyota Hi Lux Truck,vehicle
Microprocessada Micro Centrifuge P Tubes ML Display Digital RPM V MOD NI MA,other
Nissan Navara.,vehicle
Multiparameter monitor EDAN IM,other
EMERG D PAV Magnetic Sensor,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
HINO MODEL XZU TC year Hino XZU,vehicle
Sandero JKC Renault Sandero EXP V,vehicle
Thermometer work,other
CPU Desktop Intel Core I GHz GB RAM DDR HD GB Dell Optiplex,other
Multiparameter Monitor Model Umec Mindray PMLS UMET,other
MOV NISSAN NAVARA DCAB X LT,vehicle
Electrohidraulic bed Leganza Linet,other
IV Jeep Vitara Chevrolet Grand Vitara,vehicle
PCO HINO FC.,vehicle
VMCA Toyota Hi Lux D CAX X,vehicle
l Truck cd x Chevrolet Luv D Max Diesel X,vehicle
Fored Ford F Truck,vehicle
UB Ford F.,vehicle
Nissan Patrol wagon,vehicle
Met One Precipitation Sensor,other
Jeepeta Toyota Rav.,vehicle
Multiparameter Monitor Model Benevision N Mindray PMLS N,other
HP HP ELITEDESK G workforce,other
VEBLINCO LTDA Toyota Prado,vehicle
Iveco Daily Fiat.,vehicle
reel hose grease hino bahia,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
CPU Intel Ghz GB DDR HD GB Grav CD DVD Keyboard Mouse,other
Company Pickup Leased Ford Ford F XLT DC X,vehicle
Grule combustion Toyota FG,vehicle
Transmitter Pressure Indicator Download High BBA pump,other
Computer Lenovo Ew.,other
Volkswagen Truck Amarok Hi Volkswagen CTAP Truck,vehicle
Fur Ford Courier Van,vehicle
Air Curtain Airolite,other
CPU Desktop Intel Core I GHz GB of RAM DDR HD GB SSD C Keyboard E Mouse Optipl Dell,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Trans Transform Polpa Bomb between TADS,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Company Pickup Leased Ford Ford F XLT DC X,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Double cabin with camper x Toyota Hi Lux,vehicle
panel pc rugon vx r,other
Toyota TG tractor,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Company Pickup Leased Ford Ford F X,vehicle
Company Pickup Ford F,vehicle
Prado truck.,vehicle
Pfnq Toyota.,vehicle
Notebook Intel Core I M GHz GB Ram DDR HD TB Grav DVD LED Fabric HP ProBook G,other
Valve Refrigeration by Pass Hansen HSA,other
CGS Toyota Tacoma.,vehicle
CPU Intel Core I Ghz GB RAM GB HD C Grav DVD Keyboard Mouse,other
Computer computer optiplex.,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
MiNDRAY IPM multiparameter monitor,other
Truck Change Simple Cabin Change,vehicle
Truck Ford Ranger XLT,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Vacuum Tank Tank Chevrolet Brigadier,vehicle
Multiparameter Monitor Model Umec Mindray PMLS UMET,other
Vacuum and Pressão C Pressão C Cabeçote EM Teflon C Acesssorios V Model BHG Brand Alfa Mare,other
Toyota Truck Hilux DC WD DSL,vehicle
Spirometer Based on PC C Performing Cardio Perfect Welchallyn Spiro S,other
Company Pickup Leased Ford Ford F X,vehicle
recirculation pump hot water Grundfos UP F,other
CPU Desktop Intel Core I GHz GB Ram DDR HD GB Grav DVD Front USB Input CC,other
Bus Toyota Coaster,vehicle
Compressed air network Ancor Tecmin,other
Air conditioning floor roof Gree HNTF Ad,other
L Jeep Vitara Chevrolet Vitara P STD T M IN,vehicle
Company Pickup Fire Suppression Ford Ford Ranger XL X,vehicle
Great Wall truck,vehicle
Stove LTS Analogue to C with drying and sterilization Binder E,other
PC Conta Dell Dell,other
air conditioning n carrier,other
Chevrolet D Max Truck,vehicle
Chevrolet Tahoe.,vehicle
CPU Desktop Intel Core I GHz GB Ram DDR HD GB Grav DVD Front USB Input CC,other
Vibration sensor pump Sulzer PW,other
Body Infrared Thermometer T C a c Medical Use Haier Aet RB,other
SSANGYONG ACTYON SPORT SSANGYONG ACTYON SPORT,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
EcoLuz panel luminaire,other
Computer Bib MicroFilm PC Dell Optiplex,other
SSANGYONG ACTYON SPORT SSANGYONG ACTYON,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
fan coil hab york ygfccbhefxbreg,other
VMCA Ford Ranger Ica XLT,vehicle
Company Pickup Leased Ford Ford F XLT DC X,vehicle
Multiparameter monitor EDAN IM,other
CPU Intel Core I GB HD GB C Grav CD DVD Keyboard Mouse,other
Truck Kia Motors Frontier,vehicle
Empilhadeira Toyota.,vehicle
Infusion pump BD Alaris GP,other
Ford F cc x Ford F,vehicle
L CD Truck X Chevrolet D Max CRDI STD CD X,vehicle
Desktop Computer Arinc Airport Systems of Colombia SAS HP Prodesk G SFF,other
Electric Grula Toyota FBMT,vehicle
Generic microwave oven.,other
Bed room room,other
Liviano Toyota Land Cruiser DSL STD,vehicle
HINO MODEL XZU DC YEAR HINO XZU DC,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Liquid Valve N AP HANSEN MVP,other
Infusion Pump Terumo TE LM,other
Limited fan,other
NISSAN NPDC S MT,vehicle
Bed room room,other
MOV Nissan Terran DXS LT,vehicle
ESGOTE SS ENVIRONMENT PUMP,other
Company Pickup Leased Ford Ford F,vehicle
ventilator Do Motor do Rolo,other
Mazda Bt.,vehicle
Air conditioning Office LG SPCN,other
Vital Signs Monitor General Electric Dinamap Procare,other
CPU Intel Core Duo E Ghz GB of GB Ram GB Grav CD DVD,other
Pick up Operations Toyota Hilux,vehicle
PC Monitoring CCTV HP HP Z CCLA,other
Clinic bed Acare HCB M,other
Hino Dino Paoli Impact Pistol,vehicle
Chevrolet Dmax DC D X DAB ABS NAT Chevrolet D Max,vehicle
Fur Van A Ford Transit Custom,vehicle
Company Pickup Leased Ford Ford F XLT DC X,vehicle
Mechanical Riveter Vedial Hino C,vehicle
MID NL Control Panel,other
Crew Van Ford Transit XLT,vehicle
HP Compaq DC Computer,other
Ford Truck Cargo E,vehicle
air curtain pass transit,other
Pickup Nissan Navara X Nissan Navara,vehicle
Pick Up Chevrolet Silverado,vehicle
Module Monitor Tyco.,other
crew van lease ford transit cc x quig,vehicle
I truck CD x Chevrolet D Max CRDI CD X TM Diesel,vehicle
Lobular pump download dissolution Tag ph waukesha,other
Nissan Versa Pza Nissan,vehicle
Crew Van Ford F,vehicle
oil pump transmission,other
Company Pickup Leased Ford Ford F X,vehicle
HP G DM Computer,other
Truck Hvy Mazda.,vehicle
computer,other
Sensor photoelectric smoke,other
l Truck cd x Chevrolet Luv D Max Diesel X,vehicle
Bakery Sirocco Oven.,other
Truck Ford F RC XLT DF Ford F CTAB,vehicle
Pickup Ford F.,vehicle
CPU Desktop Intel Core I GHz GB RAM DDR HD GB Dell Optiplex,other
LCD Monitor Brand AOC,other
Truck Nissan NP Hycp Camionethaniis,vehicle
CPU Intel Core I Ghz MB Cache LGA GB Ram DDR HD GB Fonte PS Plate Asus,other
Dodge Ram X,vehicle
Truck Mitsubishi L.,vehicle
Centrifuga Digital High Speed Refrigerated MOD CRN RPM XG Hitachi Himac C,other
Truck Hvy Mazda.,vehicle
Mixed Refrigerator LRF PC Cong,other
KJP Chevrolet truck.,vehicle
L CD Truck X Chevrolet D Max CRDI STD CD X,vehicle
Lightweight vehicle Ford Transit E L DSL PUMA,vehicle
Air conditioning LG BTU H LG,other
Electric Grule Fork Toyota FBMT,vehicle
Electric Grula Toyota FBMT,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Clinic bed pines,other
CPU Intel Core I Ghz GB of RAM DDR HD GB,other
Oven anod,other
Chevrolet Blg v Van,vehicle
Ford F cc x Ford F,vehicle
Bomb Infusion BBRAUN INFUSOMAT FMS,other
UB Ford B.,vehicle
Nissan Truck Nissan NP DC SE D MT WD,vehicle
Pump is not,other
Sonofletor Toa PC.,other
Truck Nissan NP DC SE D MT X,vehicle
Vibration Sensor Vibration HV,other
Pickup Ford F.,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
computer desk,other
Company SUV FORD Expedition XLT,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Duster Oroch Privilege Renault Duster Oroch Privilege,vehicle
Suitel computer,other
Magnetic Membrane Dosing Bomb Prominent GMxapvtuaes,other
Electric motor AC hydrostal pump NA,other
PC Crown PC.,other
Electric Board Soft Part Motor Pump Bad Step BMP,other
Nissan Terran Nissan Terrano,vehicle
FL ELECT Toyota FBCU Toyota FBCU,vehicle
VEBLINCO LTDA SSANGYONG REXON XDI,vehicle
RC Renault Pre,vehicle
Truck Mitsubishi Dakar at,vehicle
Colorado Chevrolet truck,vehicle
Caminhão Truck Ford Cargo E,vehicle
Sevicol Ltda Nissan Frontier,vehicle
CPU Intel Core Duo E Ghz GB Ram HD GB Grav CD DVD,other
bed room,other
Pickup Ford F.,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
SSANGYONG ACTYON SPORT SSANGYONG ACTYON SPORT,vehicle
Self-deceiving Nº Toyota FDZN FSVE FDZN Toyota FDZN,vehicle
Crew Van Ford F,vehicle
Lowara QBEGG Bomb,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Spirometer Based on PC C Performing Cardio Perfect Welchallyn Spiro S,other
Computer Desk Makro Office Ltda HP Compaq Elite SFF PC,other
Hino GDjlsa truck.,vehicle
LG Computer Hewlett Packard HP EliteDesk G Small Form Factor,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Crew Van Ford F,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
valve diaphragm filters water demi income tank f valam,other
Pickup Ford F.,vehicle
PC.,other
Turva Turvea Trans Transform Pump for CF,other
Mechanical fan Nihon Kohden NKV U,other
Chevrolet Spark Lt B Classic C a Std Chevrolet,vehicle
CPU Intel Dual Core Ghz MB DDR HD GB Straightener DVD C Keyboard Mouse E Caixas Som,other
CPU Intel Core I K GHz GB of RAM DDR HD TB,other
Truck Management Training Chevrolet D Max E D DA,vehicle
Potable water pump Reggio STM T,other
UB Ford F.,vehicle
NP DC Truck SE D MT WD,vehicle
PU Ford Ford F,vehicle
My Chevrolet Ton,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Ford Ranger DC X XL L D Ford,vehicle
Pump recircle Boiler nº DAB ALP M,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Multiparameter monitor EDAN M,other
BCG Cargo Truck Chevrolet FVR E Diesel Turbo,vehicle
Mobile Works Kia Frontier,vehicle
Pickup Ford F.,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Computer Med Audio Dell Latitude E,other
PSV Purge Valve NCC,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
CPU Intel Core Duo E GHA GB of GB RAM,other
Toyota RAV Jenny Skuck FHKS Toyota RAV Aut,vehicle
Rec Computer A Asis Dell Optiplex,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Pump download U Waukesha U,other
truck Ford Jwzy Ford Cargo,vehicle
Fire Control Panel Simplex is,other
Multiparameter monitor Nihon Kohden BSM,other
Zoll M Series Defibrillator Monitor,other
Electric Grula Toyota FBMT,vehicle
KSB Peas Bomb loves Porter ND,other
Ranger Ford.,vehicle
CPU Intel Core Duo E Ghz GB of GB Ram GB Grav CD DVD,other
Double truck Cabin Volkswagen,vehicle
Breaking Sensory Side Generic Generic Fireplace,other
Vital Sign Monitor Nihon Kohden Pvm K,other
Dryer Compressed Air Condensed Separator Atlas Copco,other
Ford Ford Ranger XLS X Truck,vehicle
Pump Conventions and Commercial B Atb M Grundfos B L F,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Computer Lenovo Yoga.,other
Vital Sign Monitor Mindray Beneview T,other
R Queretaro Chevrolet Kodiak,vehicle
Bench pump Squash court,other
F Pickup Maintenance Upfitted Ford F,vehicle
Chevrolet D Truck Max Chevrolet D Max,vehicle
Ford F ford Fxlt Truck Truck,vehicle
Vital Sign Monitor Nihon Kohden PVM,other
ventilator n EBM SD AMD,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Van passengers Chev Express Chevrolet Chev Express Pass passengers,vehicle
Air conditioning CAD Tumbes Room Training,other
Computer Desktop Lenovo ThinkCentre,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Chevrolet C Pick Up Silverado D Cab Reg X Std Chevrolet,vehicle
CPU Intel Core I Ghz GB Ram DDR HD GB Fonte W Cabinet ATX BAIAS USB Entrance,other
Company Pickup Leased Ford Ford F XLT DC X,vehicle
deposit of air,other
Water pump test,other
Company Pickup Leased Ford Ford F X,vehicle
Magnetic Sensor and IVP to Emergência Ski,other
Truck Ford Ford C,vehicle
Truck Mitsubishi L Katanacrtx,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Truck Mitsubishi Dakar.,vehicle
Motu Marotiri Station Wagon Chevrolet Trailblazer at,vehicle
Access curtain Access floor,other
Toyota Truck Hilux D CAB X,vehicle
Van Rano Raraku Chevrolet Express Passenger Van,vehicle
CPU Desktop Intel Core I GHz GB Ram DDR HD GB Grav DVD Front USB Input CC,other
Tu Tu Nissan workshop cart,vehicle
Hilux M Toyota.,vehicle
Brakes VH Nissan Frontier,vehicle
Control panel on holding furnace,other
Truck Mazda BT lead kca truck Mazda BT,vehicle
Q QRO Ford F XL,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Suitel computer,other
Fresenius amika enteral nutrition pump,other
Truck Nissan Terrano Pick Up,vehicle
motion sensor room,other
Truck LXHF.,vehicle
Multiparameter Monitor Low Complexity ECG Pani Resp SP T and IBP Etco Nihon Kohden PVM,other
Toyota Truck Hilux D CAB X,vehicle
Flanco Fan Baumann FCACT,other
Ford Ranger Ford Ranger Truck,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Chevrolet Tahoe.,vehicle
Complete computer,other
Chevrolet D Truck Max X,vehicle
Automated Ball Valve,other
Cabin Electric Grua Toyota FBMT,vehicle
Truck Ssang Yong New Sport,vehicle
Mechanic Bed Ford F,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Chevrolet Trax Chevrolet.,vehicle
Pick Up Chevrolet S TDI STD X Electronic,vehicle
LG SV Lenovo Computer Thinkpad AIO,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Suitel computer,other
Pick Up Electric Toyota Hilux,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
led monitor,other
Lightweight Vehicle Nissan Navara DL X,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Air curtain EC to MIDEA,other
BGCG Mitsubishi Truck Mitsubishi L CC X,vehicle
Automobile Company Kia Morning,vehicle
DUMP Truck Nissan PFTBCWDN,vehicle
SSANGYONG ACTYON SPORT SSANGYONG ACTYON SPORT,vehicle
Nissan or RS interurban buses,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Toyota Hilux truck,vehicle
Multiparameter Monitor Low Complexity ECG Pani SP and T Nihon Kohden PVM,other
MOV CHEVROLET N MAX LT,vehicle
Toyota Hilux truck,vehicle
Pickup Ford F.,vehicle
Panel HMI Siemens TP Comfort,other
bed room,other
Base King Size Bed Passpass,other
Nissan Terrano.,vehicle
Brakes Renault Duster Oroch,vehicle
Nissan Cvrulcfdnwnaas truck,vehicle
car endoscopy Fujifilm PC,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
KSB Centrifugal Pump Meganorm KSB Meganorm,other
Truck Mitsubishi L Katana CRM,vehicle
Automobile Porteo Kia Motors Morning Ex L at Full,vehicle
Truck Mitsubishi L Katana CR,vehicle
Automobile Chevrolet Chevy Chevrolet,vehicle
Toyota Fgzn Mountacker,vehicle
SSANGYONG ACTYON SPORT SSANGYONG ACTYON SPORT,vehicle
CPU Intel Core I Ghz GB of GB Ram GB Grav CD DVD COM Keyboard E Mouse,other
monitor,other
